brand,model,form_factor,wrap_color,ring_color,cell_image_url,cell_data_url,capacity_mah,nominal_voltaje,charging_voltaje,charging_std_ma,charging_max_ma,discharging_cutoff_voltaje,discharging_std_ma,discharging_max_ma,data_ref_url
A123Systems,APR18650M1a,18650,Yellow,White,https://secondlifestorage.com/custom/cell_images/apr18650m1a.jpg,https://secondlifestorage.com/index.php?threads/celldata.4715/,1100,3.30,3.60,1500,4000,2.00,5500,30000,http://www.batteryspace.com/prod-specs/6612.pdf
ATL,INR18650,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/atlinr18650.jpg,https://secondlifestorage.com/index.php?threads/celldata.4113/,2000,3.70,None,None,None,None,None,None,http://multimedia.3m.com/mws/media/793043O/3mtm-mobile-projector-mp225a-battery-msds.pdf?fn=MP225_Battery_MSDS.pdf
BAK,18650C4,18650,Turquoise,White,https://secondlifestorage.com/custom/cell_images/t17DzK2.jpg,https://secondlifestorage.com/index.php?threads/celldata.3273/,2200,3.70,4.20,440,2200,3.00,440,2200,http://www.ebike.ir/uploads/GB%20cell%20spec.pdf
BAK,B18650CA,18650,Green (Light),White,https://secondlifestorage.com/custom/cell_images/bakb18650ca.jpg,https://secondlifestorage.com/index.php?threads/celldata.3265/,2250,3.60,4.20,1100,2250,2.75,1100,4500,http://www.recell.ro/Files/B18650CA.pdf
BAK,C18650CC,18650,Gray,White,https://secondlifestorage.com/custom/cell_images/OUf8FIO.jpg,https://secondlifestorage.com/index.php?threads/celldata.1788/,2600,3.70,4.20,2600,2600,3.00,1300,5200,https://sep.yimg.com/ty/cdn/theshorelinemarket/jetbeam-jl260-18650-2600.pdf
BFN,18650-2200,18650,Blue,Black,https://secondlifestorage.com/custom/cell_images/bfn18650.jpg,https://secondlifestorage.com/index.php?threads/celldata.1834/,2200,3.70,4.20,440,2200,3.00,440,6600,http://en.bfnbattery.com/images/download/18650C-2200.pdf
Cham,CMICR18650F,18650,Blue,Grey,https://secondlifestorage.com/custom/cell_images/chamcmicr18650f.jpg,https://secondlifestorage.com/index.php?threads/celldata.6531/,2000,3.70,None,None,None,None,None,None,None
Cham,CMICR18650F8,18650,Grey,White,https://secondlifestorage.com/custom/cell_images/chamcmicr18650f8.jpg,https://secondlifestorage.com/index.php?threads/celldata.6528/,2600,3.70,None,None,None,None,None,None,None
DLG,N18650,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/uncell001.jpg,https://secondlifestorage.com/index.php?threads/celldata.2585/,2200,3.60,4.20,1100,2200,2.75,440,4400,None
Dyson,INR-20700A,20700,Grey,Black,https://secondlifestorage.com/custom/cell_images/dysoninr20700a.jpg,https://secondlifestorage.com/index.php?threads/celldata.6533/,3000,3.60,4.20,3000,3000,2.50,560,35000,https://images.homedepot-static.com/catalog/pdfImages/3c/3cdc5dff-2f8c-4d6d-8cab-3c7e5f0b70e6.pdf
EVE,ICR18650-26V,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/eveicr1865026v.jpg,https://secondlifestorage.com/index.php?threads/celldata.8390/,2550,3.60,4.20,1275,2550,2.50,1275,7650,http://www.eveargentina.com.ar/gallery/icr18650%2026v-s03-lf.pdf
FP,18650-1800mAh,18650,Green,White,https://secondlifestorage.com/custom/cell_images/fp186501800mah.jpg,https://secondlifestorage.com/index.php?threads/celldata.5776/,1800,None,None,None,None,None,None,None,None
FP,18650-2000mAh,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/fp186502000mah.jpg,https://secondlifestorage.com/index.php?threads/celldata.5778/,2000,None,None,None,None,None,None,None,None
FST,18650-2000mAh,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/fst186502000mah.jpg,https://secondlifestorage.com/index.php?threads/celldata.8336/,2000,3.60,4.20,1000,2000,2.75,1000,10000,None
FST,18650-2200mAh,18650,Turquoise,Grey,https://secondlifestorage.com/custom/cell_images/fst186502200mah.jpg,https://secondlifestorage.com/index.php?threads/celldata.2525/,2200,3.60,4.20,1100,2200,2.75,2200,8800,None
